NINPUT,STRATEGIA,SPEEDUP,EFFICIENZA
1000000,1,4.793798,0.599225
1000000,2,5.45166,0.681458
1000000,3,5.009992,0.626249
10000000,1,3.072382,0.384048
10000000,2,3.044278,0.380535
10000000,3,3.122341,0.390293
100000000,1,3.232002,0.404
100000000,2,3.236546,0.404568
100000000,3,3.232156,0.404019
200000000,1,3.265746,0.408218
200000000,2,3.31425,0.414281
200000000,3,3.261318,0.407665
300000000,1,3.260272,0.407534
300000000,2,3.257632,0.407204
300000000,3,3.259987,0.407498
400000000,1,3.27891,0.409864
400000000,2,3.281903,0.410238
400000000,3,3.277947,0.409743
500000000,1,3.259261,0.407408
500000000,2,3.30686,0.413357
500000000,3,3.25953,0.407441
